attributes_LONGITUDE,attributes_LATITUDE,attributes_OFFENSE
-77.024583415,38.938148387,THEFT/OTHER
-76.943596739,38.8908821948,MOTOR VEHICLE THEFT
-76.9995323037,38.8292044165,THEFT/OTHER
-76.9955705409,38.9294075201,THEFT F/AUTO
-77.0106188799,38.9002074169,THEFT F/AUTO
-76.9848386913,38.8547191863,THEFT F/AUTO
-77.0146320357,38.9050198767,BURGLARY
-77.073618699,38.9615466978,MOTOR VEHICLE THEFT
-77.0245692132,38.8838828674,THEFT F/AUTO
-77.0017526732,38.8346309605,MOTOR VEHICLE THEFT
-76.9931402028,38.9222166046,THEFT/OTHER
-77.0375066283,38.9096429011,THEFT F/AUTO
-77.0249751364,38.9072382311,THEFT/OTHER
-76.9815533837,38.8465377272,THEFT/OTHER
-76.9417934949,38.8926088954,THEFT F/AUTO
-77.083543312,38.9564890953,THEFT F/AUTO
-76.9242796308,38.9038739945,THEFT F/AUTO
-76.9973093577,38.9265021221,MOTOR VEHICLE THEFT
-76.9509711286,38.8926800402,ROBBERY
-77.0429515198,38.9178191551,THEFT F/AUTO
-77.0045078189,38.8330168973,THEFT/OTHER
-76.9884242906,38.8541724053,THEFT F/AUTO
-77.0251699236,38.9319018165,THEFT/OTHER
-77.0692637984,38.9131667778,THEFT F/AUTO
-77.0261881147,38.934486976,THEFT/OTHER
-77.0090509011,38.9100071926,THEFT/OTHER
-77.0319518232,38.9186485641,THEFT/OTHER
-77.0414342962,38.9168872505,MOTOR VEHICLE THEFT
-77.0773629933,38.9362926319,ASSAULT W/DANGEROUS WEAPON
-77.0205438292,38.9164572379,THEFT F/AUTO
-77.0074758356,38.9025157814,MOTOR VEHICLE THEFT
-77.0681648844,38.9162259346,THEFT/OTHER
-76.9899986822,38.890376101,THEFT F/AUTO
-77.0319518232,38.9186485641,THEFT/OTHER
-76.9210690974,38.8868794728,THEFT F/AUTO
-77.002036823,38.8967283123,THEFT F/AUTO
-77.046302846,38.9154096776,THEFT F/AUTO
-76.9893593154,38.9265936435,THEFT F/AUTO
-77.0569050876,38.9008222833,THEFT F/AUTO
-76.9528994141,38.9198458716,THEFT F/AUTO
-77.0549549553,38.8997743736,THEFT F/AUTO
-77.0044727163,38.9056436347,THEFT F/AUTO
-77.037264042,38.9069941647,THEFT/OTHER
-77.0477025323,38.9196841082,THEFT/OTHER
-77.0058177053,38.916996336,THEFT F/AUTO
-76.9941948591,38.8348859806,ASSAULT W/DANGEROUS WEAPON
-77.0768135791,38.9390328683,THEFT F/AUTO
-77.0279498335,38.9619795615,THEFT/OTHER
-77.033077481,38.9037382218,THEFT F/AUTO
-77.0259848457,38.8961330499,THEFT/OTHER
-76.9926015578,38.8425309424,THEFT F/AUTO
-77.0345931223,38.9019267972,MOTOR VEHICLE THEFT
-77.0955525376,38.9403196699,THEFT F/AUTO
-77.0412984333,38.921616941,THEFT F/AUTO
-77.0639958956,38.9051510928,THEFT/OTHER
-76.9803866148,38.8996151246,THEFT/OTHER
-77.0106462302,38.8277881418,THEFT F/AUTO
-77.0229429721,38.9115433748,THEFT F/AUTO
-77.0976329419,38.919179851,THEFT F/AUTO
-76.988150826,38.8314639672,ROBBERY
-76.9311626569,38.8985259362,THEFT/OTHER
-76.9797291419,38.9345870631,THEFT F/AUTO
-77.001404167,38.907539879,THEFT F/AUTO
-76.9867930894,38.9534540356,BURGLARY
-76.9955287309,38.8558466728,ROBBERY
-77.0384829238,38.9129805342,THEFT/OTHER
-76.9949741689,38.8832309303,THEFT/OTHER
-76.9695721914,38.9277201697,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-76.9385860009,38.8911251955,ROBBERY
-77.0698443228,38.9526997447,THEFT F/AUTO
-77.0849981146,38.9439621264,THEFT F/AUTO
-76.9848950453,38.9077387162,ROBBERY
-77.0239672442,38.9144578168,THEFT F/AUTO
-76.9790059579,38.8672659548,THEFT F/AUTO
-76.9675340373,38.8600550644,THEFT/OTHER
-76.9820115427,38.902207721,THEFT/OTHER
-76.9117440124,38.8943248135,THEFT/OTHER
-77.0259910581,38.9175538183,THEFT F/AUTO
-77.0264921407,38.9804170595,THEFT F/AUTO
-77.0284940266,38.9352662852,THEFT/OTHER
-77.004353141,38.8770044023,THEFT/OTHER
-76.9869086226,38.8828390269,THEFT/OTHER
-77.0280890665,38.9115392782,THEFT F/AUTO
-77.0074772164,38.9046900373,MOTOR VEHICLE THEFT
-77.022392747,38.9232611572,THEFT F/AUTO
-77.0229435682,38.9148300665,THEFT F/AUTO
-77.0280813651,38.9162852319,THEFT F/AUTO
-77.033639334,38.9287433544,MOTOR VEHICLE THEFT
-77.0005367901,38.8743343032,MOTOR VEHICLE THEFT
-77.0058854763,38.906841232,ROBBERY
-76.9815003844,38.8707443586,THEFT F/AUTO
-77.0442308541,38.9079031095,THEFT F/AUTO
-77.0028140787,38.8748870259,THEFT F/AUTO
-77.035027754,38.9186100277,BURGLARY
-77.0398143875,38.9056539621,BURGLARY
-77.0058844882,38.9060439932,MOTOR VEHICLE THEFT
-77.0259863348,38.9049076407,THEFT/OTHER
